episode_number,season,title,subtitle,description,author,publication_date,duration_minutes,audio_url,audio_file_size,audio_type,episode_url,keywords,guid
,1,$4 BILLION Under Management?! How I Got Access to the Top Private Equity Investors!,"In this episode, we emphasize the importance of expanding your network to create new opportunities. We highlight how increasing your network will lead to connections with successful entrepreneurs, CFOs, investment bankers, and professionals in various...","In this episode, we emphasize the importance of expanding your network to create new opportunities. We highlight how increasing your network will lead to connections with successful entrepreneurs, CFOs, investment bankers, and professionals in various fields. I also share insights from a recent networking event where I interacted with finance experts, commercial real estate professionals, and city officials. Networking opens doors to partnerships, access to funding, and valuable knowledge sharing. So connect with others, engage with communities, and reach out to experienced individuals for guidance. By expanding your network, you can enhance your net worth and tap into government contracts and grants that face a shortage of qualified contractors. Tune in to this episode of The Daily Wind Up to learn how expanding your network can unlock new opportunities and transform your entrepreneurial journey.",Eric Coffie,2025-03-13,6,https://traffic.libsyn.com/secure/govcongiants/EP117_-_No_Ad.mp3?dest-id=1224122,8096256,audio/mpeg,https://govcongiants.libsyn.com/4-billion-under-management-how-i-got-access-to-the-top-private-equity-investors,,984a9efb-566e-4103-9284-7d0ba3a88a0a
,1,"$100,000 Business Funding Approved? Here’s What You’re Missing!","In today's episode, we have an interesting conversation about the Veteran Affairs program that helps veterans start businesses. Renona Brown shared her experience with the VA and what she learned about the program, such as how they will pay for...","In today's episode, we have an interesting conversation about the Veteran Affairs program that helps veterans start businesses. Renona Brown shared her experience with the VA and what she learned about the program, such as how they will pay for preliminary things like LLC and incorporation fees, website, professional photo, insurance for up to one year, and anything else needed to get ready for the business. We also talked about the timeframe to get into these programs, and the time it took for them to get reimbursed from both CMS and vocational rehab. If you want to learn more, stay tuned!",Eric Coffie,2025-01-25,10,https://traffic.libsyn.com/secure/govcongiants/EP70_-_No_Ad.mp3?dest-id=1224122,15042768,audio/mpeg,https://govcongiants.libsyn.com/100000-business-funding-approved-heres-what-youre-missing,,5f89402e-1f08-491c-bf06-43782587c3a1
,1,The $1 TRILLION Infrastructure Plan: Hidden Compliance Rules You Must Know!,"In this episode, we discuss compliance monitoring and enforcement for government contracts. My guest, who works in compliance monitoring, explains that they work for both the government and contractors to ensure compliance with regulations. If someone...","In this episode, we discuss compliance monitoring and enforcement for government contracts. My guest, who works in compliance monitoring, explains that they work for both the government and contractors to ensure compliance with regulations. If someone notices a contract not meeting compliance, they can reach out to the government. Also, while its true that the government has limited resources and priorities that can change with administrations, we suggest to make it easier for the government to investigate cases can help rise the case's importance level. Tune in to this episode to learn more!",Eric Coffie,2024-12-13,9,https://traffic.libsyn.com/secure/govcongiants/EP50_-_New_Intro_Ad.mp3?dest-id=1224122,12805056,audio/mpeg,https://govcongiants.libsyn.com/the-1-trillion-infrastructure-plan-hidden-compliance-rules-you-must-know,,47e4a763-8430-4af2-876f-2ac64c68aa14
,1,How ONE Student Brought a $43 MILLION GovCon Deal to the Table!,"In this podcast, I emphasize the importance of building a network and community, and discuss the benefits of partnering with others in order to win contracts. With that, I encourage individuals to focus on their strengths and advantages when targeting...","In this podcast, I emphasize the importance of building a network and community, and discuss the benefits of partnering with others in order to win contracts. With that, I encourage individuals to focus on their strengths and advantages when targeting contracts, and caution against burnout. I also share examples of successful partnerships and encourage individuals to reach out for support. My goal is to help small businesses and minorities succeed in government contracting. So tune in to this episode if you want to know more!",Eric Coffie,2024-12-12,8,https://traffic.libsyn.com/secure/govcongiants/EP49_-_New_Intro_Ad.mp3?dest-id=1224122,10897920,audio/mpeg,https://govcongiants.libsyn.com/how-one-student-brought-a-43-million-govcon-deal-to-the-table,,d4676d05-6c63-4060-8b07-2c9ab9527f03
,1,The $3 Billion GovCon Lesson: Why Small Businesses Keep Losing Out,"In this episode, we dive into the intricacies of Contractor Purchase System Review (CPSR) audits, which are necessary for maintaining an approved purchasing system when dealing with cost reimbursable contracts with the government. You will learn about...","In this episode, we dive into the intricacies of Contractor Purchase System Review (CPSR) audits, which are necessary for maintaining an approved purchasing system when dealing with cost reimbursable contracts with the government. You will learn about the audit process, which includes ensuring auditable files, complete purchase orders and subcontract agreements, and correct dates for reps and certs. Small businesses can benefit from help with administrative functions like CPSR audits, with the importance of adhering to subcontracting goals when doing business with the government. Tune in to this episode to learn more!",Eric Coffie,2024-12-05,11,https://traffic.libsyn.com/secure/govcongiants/EP43_-_New_Intro_Ad.mp3?dest-id=1224122,16208640,audio/mpeg,https://govcongiants.libsyn.com/the-3-billion-govcon-lesson-why-small-businesses-keep-losing-out,,3d47c045-1f44-4dc5-9477-cc371a3e64c2
,1,Rule of Two: The Law That Could Save Small Businesses!,"In this episode, I discuss the importance of small businesses participating in government contracts and events. I also highlighted the significance of the ""rule of two"" and the changes that the SBA is making to it. Small businesses can shape...","In this episode, I discuss the importance of small businesses participating in government contracts and events. I also highlighted the significance of the ""rule of two"" and the changes that the SBA is making to it. Small businesses can shape requirements and benefit themselves by partnering with other companies in their industry rather than competing against them. Lastly, small businesses need to be proactive in participating in these opportunities rather than solely relying on bids and RFPs. Want to learn more? Listen to this episode now.",Eric Coffie,2024-11-26,8,https://traffic.libsyn.com/secure/govcongiants/EP36_-_New_Intro_Ad.mp3?dest-id=1224122,11942784,audio/mpeg,https://govcongiants.libsyn.com/rule-of-two-the-law-that-could-save-small-businesses,,e82cce05-3a3a-449e-8ee6-317cfd6fe132
,1,Why This Business Owner Refuses to Take on More Than 10 Clients a Year – The Secret Behind Their Success!,"In this episode, we discuss the importance of standing by the truth and being honest with clients, even when delivering bad news. Our guest shares how their small accounting business focuses on providing excellent service to their clients, which has...","In this episode, we discuss the importance of standing by the truth and being honest with clients, even when delivering bad news. Our guest shares how their small accounting business focuses on providing excellent service to their clients, which has resulted in a loyal client base. We also touched on the importance of working with good people, both in business and personal life, and the benefits of putting out a good product. Your business helps clients with process improvement, standard operating procedures, process mapping, and role assignments so operating with excellence is vital. This episode provides insights for running a successful accounting business with a focus on client partnership. So tune in to learn more!",Eric Coffie,2024-11-21,7,https://traffic.libsyn.com/secure/govcongiants/EP33_-_New_Intro_Ad.mp3?dest-id=1224122,10653696,audio/mpeg,https://govcongiants.libsyn.com/why-this-business-owner-refuses-to-take-on-more-than-10-clients-a-year-the-secret-behind-their-success,,b0e9eed2-4eed-4d43-a622-4692e6a904e7
,1,Turning a $20 Million Contract Into $50 Million in Just 1 Year – With Only 1 Employee!,"In today's episode, I talk about the common belief that organic growth is the way to successfully build a business. This approach may not be feasible for everyone, especially those who have other jobs and commitments. Breaking down the math behind...","In today's episode, I talk about the common belief that organic growth is the way to successfully build a business. This approach may not be feasible for everyone, especially those who have other jobs and commitments. Breaking down the math behind achieving 10,000 hours of practice, which is needed to become an expert in a field, it may take much longer than expected to reach that level. So listen to this episode to know a different approach to business growth, one that involves joint ventures and bigger contracts. This simple math and logic from this episode will demonstrate how this approach can lead to much higher revenue and faster success.",Eric Coffie,2024-11-19,7,https://traffic.libsyn.com/secure/govcongiants/EP32_-_New_Intro_Ad.mp3?dest-id=1224122,10186560,audio/mpeg,https://govcongiants.libsyn.com/turning-a-20-million-contract-into-50-million-in-just-1-year-with-only-1-employee,,55bce16d-43ac-44c0-b3e7-67f1cbe90032
,1,From 7 Years of Struggle to 2 Years of Profit: The Unbelievable Turnaround Story!,"In this episode, we discuss the importance of looking at industry-specific examples when evaluating business success. Just because a company is making money does not mean they have the best processes, people, or technology in place. Instead,...","In this episode, we discuss the importance of looking at industry-specific examples when evaluating business success. Just because a company is making money does not mean they have the best processes, people, or technology in place. Instead, businesses should be willing to evaluate what will make them the highest profit and allow them to use their resources in the best way. Want to evaluate what was necessary for success? This includes building a brand, building trust, and becoming a trusted authority before attempting to sell. It's important to be cautious about poor growth and only take on as many clients as they can handle without compromising their service quality. Tune in to this episode to learn more!",Eric Coffie,2024-11-18,8,https://traffic.libsyn.com/secure/govcongiants/EP29_-_New_Intro_Ad.mp3?dest-id=1224122,11339712,audio/mpeg,https://govcongiants.libsyn.com/from-7-years-of-struggle-to-2-years-of-profit-the-unbelievable-turnaround-story,,3dddcf9c-e6b0-466e-a79f-07e40e132bd7
,1,"Building an IT Empire: 23 Years of Grit, Innovation, and Unmatched Success!","In today's episode, we have Manish Gorawala, the founder of Tri-Force Consulting Services, Inc. Tune in to this podcast as Manish shares the story behind the name Triforce. He views their company name as representing excellence, integrity and hard...","In today's episode, we have Manish Gorawala, the founder of Tri-Force Consulting Services, Inc. Tune in to this podcast as Manish shares the story behind the name Triforce. He views their company name as representing excellence, integrity and hard work. Now their company specializes in IT systems integration, data analytics, cybersecurity, software testing and IT staffing. He started consulting as an independent consultant after graduating in computer science and later realized that the knowledge he gained could be used to work with more clients. He also employs other experts in the industry and the company has been in operation for almost 22 years. Interestingly, their company also works with new technologies like artificial intelligence, workflow automation, mobile apps, NFT and blockchain.",Eric Coffie,2024-11-16,9,https://traffic.libsyn.com/secure/govcongiants/EP27_-_New_Intro_Ad.mp3?dest-id=1224122,12391488,audio/mpeg,https://govcongiants.libsyn.com/building-an-it-empire-23-years-of-grit-innovation-and-unmatched-success,,d80e8a73-0c72-4c4c-a903-bdd06e16a582
